epoch,training_loss,val_loss
0,0.10293642013634323,0.08990526758134365
1,0.09262256931375575,0.10661655012518167
2,0.09128150205921244,0.09234154224395752
3,0.0855693699663909,0.09015949536114931
4,0.08339821598517201,0.09238034579902887
5,0.08226854547306343,0.09779835399240255
6,0.08043938015819227,0.09226229321211576
7,0.07715236959318636,0.0946151427924633
8,0.0774269469437145,0.10243706591427326
9,0.07621750724378717,0.09945309720933437
10,0.07477177797801911,0.10351209715008736
11,0.07520028696489081,0.10830434132367373
12,0.07487217628608936,0.09931239672005177
13,0.0736972229584815,0.10939047951251268
14,0.07152025107905348,0.10798527952283621
15,0.07068278289661206,0.11518772132694721
16,0.06802220216819219,0.11884556617587805
17,0.06717698100619215,0.12530255038291216
18,0.06884830581053855,0.11125174257904291
19,0.0692924501561614,0.1257562842220068
20,0.06697941878958354,0.12343593500554562
21,0.06749231289461176,0.12272793520241976
22,0.06651250087710285,0.13113502506166697
23,0.06749944099121624,0.13028054405003786
24,0.06626044609953487,0.13554594852030277
